"","word","n","star_rating"
"1","br",27565,5
"2","product",11272,5
"3","ipod",8735,5
"4","sound",8488,5
"5","price",8143,5
"6","love",7943,5
"7","easy",7390,5
"8","quality",7231,5
"9","bought",6137,5
"10","speaker",6044,5
"11","time",5909,5
"12","recommend",5560,5
"13","nice",5325,5
"14","screen",5311,5
"15","car",5093,5
"16","phone",4986,5
"17","perfect",4789,5
"18","buy",4696,5
"19","battery",4672,5
"20","fits",4206,5
"21","unit",4151,5
"22","cover",4069,5
"23","fit",3939,5
"24","2",3828,5
"25","perfectly",3796,5
"26","music",3710,5
"27","radio",3667,5
"28","charge",3658,5
"29","cable",3649,5
"30","nook",3608,5
"31","iphone",3512,5
"32","power",3491,5
"33","device",3424,5
"34","speakers",3220,5
"35","happy",3108,5
"36","item",2998,5
"37","usb",2984,5
"38","purchased",2919,5
"39","player",2875,5
"40","excellent",2833,5
"41","bluetooth",2796,5
"42","charger",2725,5
"43","touch",2706,5
"44","amp",2662,5
"45","color",2602,5
"46","purchase",2574,5
"47","3",2471,5
"48","4",2450,5
"49","highly",2438,5
"50","5",2433,5
"51","gps",2391,5
"52","34",2299,5
"53","set",2275,5
"54","lot",2244,5
"55","hard",2135,5
"56","size",2123,5
"57","pretty",2120,5
"58","fast",2115,5
"59","volume",2114,5
"60","kindle",2103,5
"61","light",2095,5
"62","easily",2047,5
"63","worth",2046,5
"64","audio",2013,5
"65","day",2010,5
"66","awesome",1993,5
"67","1",1982,5
"68","box",1931,5
"69","received",1920,5
"70","bass",1911,5
"71","charging",1909,5
"72","found",1889,5
"73","amazon",1887,5
"74","system",1886,5
"75","makes",1877,5
"76","fine",1868,5
"77","money",1838,5
"78","bit",1824,5
"79","plug",1754,5
"80","loves",1750,5
"81","install",1741,5
"82","protector",1721,5
"83","camera",1716,5
"84","play",1701,5
"85","mp3",1669,5
"86","amazing",1652,5
"87","shipping",1634,5
"88","card",1633,5
"89","expected",1623,5
"90","ipad",1610,5
"91","arrived",1580,5
"92","video",1578,5
"93","sounds",1556,5
"94","simple",1547,5
"95","days",1519,5
"96","pleased",1516,5
"97","read",1509,5
"98","loud",1498,5
"99","apple",1491,5
"100","cord",1463,5
"101","hold",1450,5
"102","10",1429,5
"103","mount",1428,5
"104","reviews",1421,5
"105","review",1417,5
"106","hours",1415,5
"107","cheap",1407,5
"108","button",1405,5
"109","feel",1400,5
"110","stereo",1399,5
"111","quickly",1386,5
"112","daughter",1385,5
"113","remote",1367,5
"114","cables",1362,5
"115","installed",1358,5
"116","portable",1356,5
"117","times",1348,5
"118","deal",1324,5
"119","life",1319,5
"120","service",1311,5
"121","design",1299,5
"122","protection",1277,5
"123","front",1249,5
"124","gift",1231,5
"125","buttons",1226,5
"126","free",1219,5
"127","listen",1216,5
"128","leather",1215,5
"129","tablet",1210,5
"130","months",1204,5
"131","built",1188,5
"132","top",1178,5
"133","buying",1174,5
"134","people",1155,5
"135","running",1155,5
"136","low",1151,5
"137","home",1143,5
"138","protect",1139,5
"139","extra",1137,5
"140","inside",1136,5
"141","job",1136,5
"142","6",1133,5
"143","original",1127,5
"144","products",1121,5
"145","pocket",1118,5
"146","plastic",1116,5
"147","computer",1107,5
"148","super",1106,5
"149","devices",1101,5
"150","durable",1093,5
"151","adapter",1090,5
"152","couple",1079,5
"153","feature",1066,5
"154","seller",1060,5
"155","sturdy",1044,5
"156","garmin",1041,5
"157","mine",1038,5
"158","cool",1032,5
"159","fm",1029,5
"160","wire",1028,5
"161","issues",1025,5
"162","stand",1017,5
"163","charged",1016,5
"164","clip",1010,5
"165","protects",1010,5
"166","loved",1003,5
"167","nano",1003,5
"168","black",999,5
"169","features",997,5
"170","cost",993,5
"171","port",992,5
"172","replacement",986,5
"173","reading",984,5
"174","run",978,5
"175","holds",977,5
"176","carry",972,5
"177","skin",960,5
"178","colors",945,5
"179","range",941,5
"180","hear",931,5
"181","blue",929,5
"182","christmas",928,5
"183","quick",925,5
"184","control",920,5
"185","bad",917,5
"186","satisfied",913,5
"187","instructions",909,5
"188","cd",908,5
"189","absolutely",904,5
"190","recommended",895,5
"191","issue",894,5
"192","batteries",893,5
"193","headphones",887,5
"194","watch",885,5
"195","company",880,5
"196","reader",877,5
"197","clean",874,5
"198","included",870,5
"199","charges",869,5
"200","connect",868,5
"201","picture",866,5
"202","friends",865,5
"203","store",860,5
"204","glad",848,5
"205","brand",847,5
"206","expensive",847,5
"207","key",847,5
"208","mini",843,5
"209","customer",842,5
"210","8",840,5
"211","cute",837,5
"212","package",835,5
"213","change",819,5
"214","impressed",814,5
"215","tv",813,5
"216","real",811,5
"217","replace",810,5
"218","son",803,5
"219","head",802,5
"220","ago",801,5
"221","covers",801,5
"222","7",785,5
"223","dash",785,5
"224","solid",785,5
"225","week",785,5
"226","extremely",779,5
"227","sd",777,5
"228","house",776,5
"229","plugged",776,5
"230","antenna",772,5
"231","type",767,5
"232","pack",766,5
"233","sony",762,5
"234","advertised",761,5
"235","drive",755,5
"236","feels",754,5
"237","bottom",753,5
"238","model",751,5
"239","red",751,5
"240","100",750,5
"241","laptop",750,5
"242","shipped",749,5
"243","software",749,5
"244","pair",747,5
"245","compact",745,5
"246","transmitter",745,5
"247","left",743,5
"248","line",742,5
"249","night",739,5
"250","decided",738,5
"251","bag",730,5
"252","listening",730,5
"253","wrong",727,5
"254","30",726,5
"255","wife",725,5
"256","minutes",719,5
"257","12",717,5
"258","hands",717,5
"259","kit",717,5
"260","remove",715,5
"261","hand",713,5
"262","nicely",711,5
"263","beat",710,5
"264","delivery",709,5
"265","travel",706,5
"266","add",704,5
"267","start",704,5
"268","dock",697,5
"269","20",696,5
"270","keyboard",695,5
"271","easier",688,5
"272","band",684,5
"273","vehicle",681,5
"274","jack",671,5
"275","wonderful",670,5
"276","kids",666,5
"277","installation",665,5
"278","micro",663,5
"279","update",662,5
"280","weeks",661,5
"281","factory",657,5
"282","handy",655,5
"283","strong",653,5
"284","switch",653,5
"285","playing",650,5
"286","bright",649,5
"287","husband",648,5
"288","takes",645,5
"289","surprised",642,5
"290","items",640,5
"291","dropped",638,5
"292","wall",638,5
"293","cut",634,5
"294","soft",633,5
"295","short",630,5
"296","expect",627,5
"297","piece",626,5
"298","access",624,5
"299","book",621,5
"300","display",621,5
"301","looked",612,5
"302","rubber",610,5
"303","fantastic",608,5
"304","weight",608,5
"305","completely",605,5
"306","hd",605,5
"307","finally",602,5
"308","connection",600,5
"309","subs",599,5
"310","connected",598,5
"311","stars",598,5
"312","experience",596,5
"313","alpine",594,5
"314","truck",594,5
"315","heavy",590,5
"316","water",590,5
"317","note",589,5
"318","armband",588,5
"319","books",588,5
"320","lights",587,5
"321","generation",586,5
"322","wires",586,5
"323","comfortable",585,5
"324","friend",583,5
"325","controls",581,5
"326","purse",579,5
"327","driving",574,5
"328","cheaper",573,5
"329","arm",570,5
"330","secure",568,5
"331","stays",568,5
"332","connector",567,5
"333","close",566,5
"334","simply",566,5
"335","space",566,5
"336","month",562,5
"337","half",558,5
"338","leave",553,5
"339","phones",552,5
"340","call",549,5
"341","songs",549,5
"342","paid",548,5
"343","cell",544,5
"344","worry",542,5
"345","protective",541,5
"346","signal",540,5
"347","output",539,5
"348","pay",536,5
"349","manual",532,5
"350","protected",532,5
"351","version",531,5
"352","station",528,5
"353","material",522,5
"354","memory",522,5
"355","due",520,5
"356","similar",520,5
"357","tight",519,5
"358","aux",516,5
"359","beautiful",514,5
"360","compared",512,5
"361","holding",512,5
"362","road",512,5
"363","warranty",512,5
"364","rear",510,5
"365","enjoy",509,5
"366","trip",509,5
"367","function",508,5
"368","ear",505,5
"369","favorite",505,5
"370","fun",504,5
"371","holder",503,5
"372","wear",499,5
"373","decent",496,5
"374","headphone",496,5
"375","inexpensive",496,5
"376","check",495,5
"377","stuff",494,5
"378","strap",492,5
"379","online",489,5
"380","receiver",489,5
"381","complaints",488,5
"382","replaced",488,5
"383","protectors",486,5
"384","option",485,5
"385","silicone",485,5
"386","files",484,5
"387","single",484,5
"388","stock",484,5
"389","hope",483,5
"390","expectations",481,5
"391","bose",480,5
"392","added",478,5
"393","family",477,5
"394","support",476,5
"395","owned",475,5
"396","setup",475,5
"397","15",474,5
"398","dont",474,5
"399","zune",474,5
"400","belt",473,5
"401","led",473,5
