"","word","n","star_rating"
"1","br",15847,4
"2","product",3937,4
"3","ipod",3732,4
"4","price",3418,4
"5","screen",3407,4
"6","sound",3113,4
"7","time",2924,4
"8","quality",2741,4
"9","unit",2550,4
"10","nice",2545,4
"11","easy",2530,4
"12","bought",2172,4
"13","car",2155,4
"14","radio",2074,4
"15","battery",2038,4
"16","phone",2031,4
"17","device",1945,4
"18","player",1877,4
"19","fit",1811,4
"20","cover",1784,4
"21","speaker",1755,4
"22","2",1740,4
"23","pretty",1720,4
"24","usb",1686,4
"25","cable",1649,4
"26","music",1643,4
"27","4",1627,4
"28","power",1627,4
"29","bit",1602,4
"30","fine",1599,4
"31","5",1518,4
"32","buy",1512,4
"33","charge",1491,4
"34","love",1469,4
"35","fits",1429,4
"36","recommend",1427,4
"37","camera",1347,4
"38","hard",1295,4
"39","touch",1274,4
"40","iphone",1273,4
"41","volume",1225,4
"42","charger",1210,4
"43","stars",1202,4
"44","34",1176,4
"45","3",1174,4
"46","speakers",1172,4
"47","nook",1141,4
"48","item",1106,4
"49","light",1094,4
"50","button",1082,4
"51","gps",1076,4
"52","1",1070,4
"53","protector",1069,4
"54","happy",1065,4
"55","mp3",1064,4
"56","bluetooth",1059,4
"57","set",1044,4
"58","play",1042,4
"59","color",1009,4
"60","lot",996,4
"61","perfect",995,4
"62","plug",984,4
"63","easily",951,4
"64","video",946,4
"65","audio",945,4
"66","purchased",944,4
"67","purchase",917,4
"68","charging",907,4
"69","size",895,4
"70","card",888,4
"71","hold",874,4
"72","perfectly",854,4
"73","buttons",846,4
"74","found",842,4
"75","worth",840,4
"76","plastic",833,4
"77","makes",830,4
"78","issue",826,4
"79","cord",813,4
"80","job",774,4
"81","cheap",758,4
"82","read",751,4
"83","system",743,4
"84","money",734,4
"85","bad",733,4
"86","remote",728,4
"87","front",704,4
"88","fm",701,4
"89","feel",693,4
"90","times",692,4
"91","adapter",685,4
"92","box",683,4
"93","expected",676,4
"94","install",667,4
"95","received",660,4
"96","kindle",653,4
"97","mount",649,4
"98","day",645,4
"99","top",642,4
"100","10",637,4
"101","deal",631,4
"102","review",623,4
"103","amazon",621,4
"104","excellent",615,4
"105","amp",607,4
"106","instructions",606,4
"107","protection",606,4
"108","clip",601,4
"109","bass",599,4
"110","reason",599,4
"111","software",598,4
"112","cd",574,4
"113","days",568,4
"114","shipping",568,4
"115","feature",565,4
"116","design",561,4
"117","loud",560,4
"118","stereo",559,4
"119","couple",558,4
"120","protect",558,4
"121","fast",557,4
"122","simple",556,4
"123","low",553,4
"124","reviews",552,4
"125","computer",550,4
"126","features",550,4
"127","wire",547,4
"128","sd",545,4
"129","months",544,4
"130","control",541,4
"131","listen",541,4
"132","hours",540,4
"133","sounds",538,4
"134","life",537,4
"135","bottom",532,4
"136","pocket",526,4
"137","black",521,4
"138","files",520,4
"139","inside",519,4
"140","free",515,4
"141","devices",512,4
"142","quickly",511,4
"143","decent",509,4
"144","included",507,4
"145","difficult",505,4
"146","installed",505,4
"147","mine",505,4
"148","left",503,4
"149","people",498,4
"150","ipad",496,4
"151","apple",491,4
"152","built",490,4
"153","tablet",488,4
"154","headphones",487,4
"155","picture",487,4
"156","port",486,4
"157","6",484,4
"158","connect",484,4
"159","home",483,4
"160","issues",482,4
"161","arrived",477,4
"162","skin",473,4
"163","transmitter",472,4
"164","stand",467,4
"165","antenna",466,4
"166","drive",466,4
"167","pleased",466,4
"168","manual",463,4
"169","star",463,4
"170","extra",462,4
"171","display",457,4
"172","change",456,4
"173","leather",454,4
"174","reading",453,4
"175","update",446,4
"176","cost",441,4
"177","blue",438,4
"178","connection",437,4
"179","cons",435,4
"180","original",435,4
"181","line",431,4
