"","word","n","star_rating"
"1","br",9341,1
"2","product",5390,1
"3","buy",3024,1
"4","money",3014,1
"5","time",2952,1
"6","ipod",2700,1
"7","bought",2496,1
"8","screen",2406,1
"9","item",2364,1
"10","unit",2104,1
"11","charge",1926,1
"12","2",1836,1
"13","fit",1803,1
"14","quality",1803,1
"15","phone",1802,1
"16","waste",1669,1
"17","return",1660,1
"18","charger",1583,1
"19","car",1579,1
"20","device",1536,1
"21","cheap",1534,1
"22","battery",1531,1
"23","cable",1530,1
"24","iphone",1462,1
"25","amazon",1435,1
"26","player",1431,1
"27","34",1413,1
"28","sound",1284,1
"29","3",1283,1
"30","received",1267,1
"31","radio",1248,1
"32","1",1177,1
"33","bad",1147,1
"34","purchased",1127,1
"35","recommend",1112,1
"36","broke",1078,1
"37","worth",1063,1
"38","power",1032,1
"39","music",1014,1
"40","days",1002,1
"41","usb",982,1
"42","seller",976,1
"43","junk",952,1
"44","5",947,1
"45","day",934,1
"46","disappointed",934,1
"47","4",921,1
"48","company",912,1
"49","piece",911,1
"50","price",902,1
"51","months",900,1
"52","camera",880,1
"53","pay",876,1
"54","purchase",871,1
"55","stopped",865,1
"56","touch",848,1
"57","gps",830,1
"58","plug",819,1
"59","play",818,1
"60","plastic",815,1
"61","box",813,1
"62","refund",811,1
"63","plugged",810,1
"64","charging",806,1
"65","weeks",797,1
"66","poor",792,1
"67","mp3",785,1
"68","week",759,1
"69","fine",753,1
"70","hard",750,1
"71","reviews",728,1
"72","read",723,1
"73","instructions",705,1
"74","cord",696,1
"75","times",692,1
"76","apple",681,1
"77","cover",673,1
"78","returned",665,1
"79","speaker",665,1
"80","light",662,1
"81","card",661,1
"82","button",659,1
"83","send",656,1
"84","month",646,1
"85","shipping",646,1
"86","video",631,1
"87","hold",609,1
"88","protector",604,1
"89","customer",592,1
"90","review",590,1
"91","support",586,1
"92","computer",583,1
"93","10",581,1
"94","service",580,1
"95","set",580,1
"96","useless",566,1
"97","buying",561,1
"98","replacement",545,1
"99","volume",539,1
"100","completely",536,1
"101","hours",532,1
"102","wrong",525,1
"103","minutes",523,1
"104","stay",523,1
"105","save",522,1
"106","adapter",518,1
"107","found",514,1
"108","software",514,1
"109","started",507,1
"110","buttons",498,1
"111","cost",496,1
"112","nice",494,1
"113","broken",488,1
"114","horrible",488,1
"115","terrible",488,1
"116","guess",478,1
"117","nook",477,1
"118","brand",469,1
"119","products",469,1
"120","picture",468,1
"121","cd",465,1
"122","arrived",459,1
"123","connect",459,1
"124","speakers",458,1
"125","star",448,1
"126","audio",447,1
"127","charged",443,1
"128","properly",443,1
"129","description",442,1
"130","system",442,1
"131","6",435,1
"132","bluetooth",435,1
"133","couple",431,1
"134","warranty",431,1
"135","pretty",430,1
"136","fm",428,1
"137","ipad",425,1
"138","returning",425,1
"139","defective",422,1
"140","original",422,1
"141","30",420,1
"142","mount",420,1
"143","remote",414,1
"144","lot",413,1
"145","low",413,1
"146","dont",411,1
"147","start",411,1
"148","issue",410,1
"149","package",410,1
"150","transmitter",404,1
"151","color",403,1
"152","paid",403,1
"153","worst",403,1
"154","finally",400,1
"155","kindle",400,1
"156","garbage",399,1
"157","installed",397,1
"158","wall",394,1
"159","crap",390,1
"160","manual",387,1
"161","cables",384,1
"162","half",384,1
"163","update",383,1
"164","told",381,1
"165","connection",380,1
"166","spend",378,1
"167","makes",377,1
"168","inside",376,1
"169","people",376,1
"170","connector",372,1
"171","hear",371,1
"172","wire",368,1
"173","ago",365,1
"174","display",365,1
"175","real",362,1
"176","left",356,1
"177","looked",356,1
"178","reason",356,1
"179","short",356,1
"180","batteries",355,1
"181","model",354,1
"182","mine",353,1
"183","garmin",352,1
"184","design",351,1
"185","easy",349,1
"186","happy",345,1
"187","replace",343,1
"188","key",340,1
"189","top",339,1
"190","advertised",336,1
"191","stop",333,1
"192","antenna",332,1
"193","difficult",331,1
"194","china",329,1
"195","stars",329,1
