"","word","n","star_rating"
"1","br",8150,3
"2","product",2061,3
"3","ipod",1980,3
"4","screen",1764,3
"5","time",1536,3
"6","sound",1462,3
"7","unit",1413,3
"8","price",1410,3
"9","quality",1399,3
"10","radio",1279,3
"11","phone",1163,3
"12","battery",1158,3
"13","bought",1157,3
"14","fit",1129,3
"15","car",1123,3
"16","nice",1101,3
"17","device",980,3
"18","player",962,3
"19","2",938,3
"20","3",937,3
"21","cover",933,3
"22","fine",918,3
"23","music",875,3
"24","pretty",875,3
"25","charge",854,3
"26","buy",849,3
"27","cable",809,3
"28","power",802,3
"29","hard",790,3
"30","uv",768,3
"31","easy",747,3
"32","charger",705,3
"33","usb",704,3
"34","speaker",696,3
"35","bit",693,3
"36","34",688,3
"37","camera",662,3
"38","iphone",655,3
"39","cheap",636,3
"40","item",630,3
"41","volume",623,3
"42","bad",615,3
"43","1",613,3
"44","plastic",607,3
"45","4",606,3
"46","button",577,3
"47","play",563,3
"48","touch",562,3
"49","plug",560,3
"50","card",558,3
"51","mp3",551,3
"52","light",546,3
"53","gps",545,3
"54","purchased",545,3
"55","protector",539,3
"56","hold",534,3
"57","video",532,3
"58","lot",528,3
"59","5",512,3
"60","color",509,3
"61","easily",484,3
"62","stars",476,3
"63","set",463,3
"64","cord",460,3
"65","fits",458,3
"66","nook",458,3
"67","audio",446,3
"68","buttons",446,3
"69","speakers",438,3
"70","bluetooth",435,3
"71","charging",434,3
"72","mount",432,3
"73","received",424,3
"74","found",413,3
"75","day",410,3
"76","worth",409,3
"77","5rax",401,3
"78","months",400,3
"79","box",399,3
"80","recommend",397,3
"81","days",390,3
"82","money",385,3
"83","read",385,3
"84","love",378,3
"85","inside",371,3
"86","times",370,3
"87","top",370,3
"88","job",368,3
"89","size",363,3
"90","issue",358,3
"91","difficult",351,3
"92","fm",349,3
"93","sd",347,3
"94","makes",346,3
"95","clip",342,3
"96","remote",342,3
"97","expected",341,3
"98","front",339,3
"99","bottom",333,3
"100","decent",332,3
"101","low",331,3
"102","original",331,3
"103","pay",331,3
"104","picture",330,3
"105","instructions",328,3
"106","5ra",326,3
"107","purchase",321,3
"108","features",320,3
"109","protection",318,3
"110","software",318,3
"111","review",316,3
"112","broke",314,3
"113","feel",314,3
"114","update",314,3
"115","band",313,3
"116","system",313,3
"117","design",309,3
"118","happy",308,3
"119","reason",305,3
"120","control",304,3
"121","computer",301,3
"122","10",299,3
"123","expect",295,3
"124","couple",294,3
"125","units",292,3
"126","black",291,3
"127","amazon",288,3
"128","hours",288,3
"129","short",287,3
"130","kindle",286,3
"131","adapter",285,3
"132","antenna",283,3
"133","5r",281,3
"134","loud",281,3
"135","transmitter",281,3
"136","real",278,3
"137","return",277,3
"138","guess",273,3
"139","listen",272,3
"140","stereo",272,3
"141","deal",271,3
"142","cd",269,3
"143","left",266,3
"144","playing",265,3
"145","disappointed",264,3
"146","protect",262,3
"147","mine",259,3
"148","model",259,3
"149","radios",259,3
"150","feature",258,3
"151","extra",256,3
"152","display",255,3
"153","stay",255,3
"154","6",254,3
"155","headphones",254,3
"156","standard",254,3
"157","apple",253,3
"158","night",253,3
"159","shipping",252,3
"160","connection",251,3
"161","seller",249,3
"162","bass",248,3
"163","ipad",247,3
"164","piece",246,3
"165","weeks",246,3
"166","included",245,3
"167","installed",245,3
"168","manual",244,3
"169","people",243,3
"170","buying",242,3
"171","files",242,3
"172","issues",242,3
"173","sounds",239,3
"174","songs",238,3
"175","cut",237,3
"176","life",237,3
"177","replacement",237,3
"178","change",235,3
"179","station",234,3
"180","wire",234,3
"181","blue",233,3
"182","connect",233,3
"183","reviews",233,3
"184","song",233,3
"185","hear",229,3
"186","accessories",228,3
"187","firmware",228,3
"188","function",228,3
"189","annoying",227,3
"190","perfect",224,3
"191","start",224,3
"192","week",223,3
"193","built",221,3
"194","close",221,3
"195","fast",221,3
"196","started",221,3
"197","plugged",220,3
"198","figure",219,3
"199","wife",219,3
"200","wrong",219,3
"201","skin",218,3
"202","batteries",217,3
"203","leather",217,3
"204","perfectly",217,3
"205","amp",216,3
"206","ear",215,3
"207","remove",215,3
"208","stand",215,3
"209","nano",212,3
"210","arm",209,3
"211","paid",208,3
"212","port",207,3
"213","recording",207,3
"214","company",206,3
"215","support",206,3
"216","tape",206,3
"217","advertised",205,3
"218","install",205,3
"219","products",205,3
"220","service",205,3
"221","quickly",204,3
"222","free",203,3
"223","month",203,3
"224","kids",202,3
"225","switch",202,3
"226","cables",201,3
"227","pocket",201,3
"228","cost",200,3
"229","minutes",199,3
"230","version",199,3
"231","finally",198,3
"232","head",198,3
"233","static",198,3
"234","jack",197,3
"235","mode",197,3
"236","package",196,3
"237","30",195,3
"238","run",195,3
"239","tight",195,3
"240","connector",194,3
"241","cute",194,3
"242","feels",194,3
"243","dash",193,3
"244","white",192,3
"245","loose",191,3
"246","takes",191,3
"247","cool",190,3
"248","noise",190,3
"249","press",190,3
"250","tablet",190,3
"251","devices",189,3
"252","poor",189,3
"253","star",189,3
"254","half",188,3
"255","completely",187,3
"256","line",186,3
"257","live",186,3
"258","break",185,3
"259","due",185,3
"260","garmin",185,3
"261","simple",185,3
"262","description",183,3
"263","armband",182,3
"264","arrived",182,3
"265","cons",182,3
"266","8",181,3
"267","key",181,3
"268","replace",181,3
"269","tv",181,3
"270","type",181,3
"271","strap",180,3
"272","reader",179,3
"273","red",179,3
"274","stopped",179,3
"275","drive",177,3
"276","customer",176,3
"277","home",175,3
"278","signal",175,3
"279","material",173,3
"280","option",170,3
"281","20",169,3
"282","simply",169,3
"283","bubbles",168,3
"284","connected",168,3
"285","record",168,3
"286","expensive",167,3
"287","charged",166,3
"288","dont",166,3
"289","mini",164,3
"290","pros",164,3
"291","7",163,3
"292","brand",163,3
"293","flimsy",163,3
"294","range",163,3
"295","rubber",163,3
"296","daughter",162,3
"297","idea",162,3
"298","broken",161,3
"299","bright",160,3
"300","fairly",160,3
"301","holds",160,3
"302","stick",160,3
"303","wall",160,3
"304","controls",158,3
"305","dock",158,3
"306","file",158,3
"307","memory",158,3
"308","send",158,3
"309","store",158,3
"310","books",156,3
"311","book",155,3
"312","reading",155,3
"313","running",155,3
"314","hd",154,3
"315","rating",154,3
"316","voice",154,3
"317","looked",153,3
"318","reception",153,3
"319","sturdy",153,3
"320","wires",153,3
"321","micro",152,3
"322","silicone",152,3
"323","fall",151,3
"324","portable",151,3
"325","purpose",151,3
"326","track",151,3
"327","hand",150,3
"328","listening",150,3
"329","main",149,3
"330","settings",149,3
"331","thin",148,3
"332","user",148,3
"333","stations",147,3
"334","supposed",147,3
"335","useless",147,3
"336","belt",146,3
"337","slightly",146,3
"338","view",146,3
"339","watch",146,3
"340","dropped",145,3
"341","phones",145,3
"342","ago",144,3
"343","menu",144,3
"344","sony",144,3
"345","plays",143,3
"346","properly",143,3
"347","glare",142,3
"348","suction",142,3
"349","call",141,3
"350","decided",141,3
"351","fix",140,3
"352","lights",140,3
"353","covers",139,3
"354","difference",139,3
"355","excellent",139,3
"356","charges",138,3
"357","including",138,3
"358","mirror",138,3
"359","headphone",137,3
"360","holder",136,3
"361","vehicle",136,3
"362","base",135,3
"363","driving",135,3
"364","release",135,3
"365","noticed",134,3
"366","stop",134,3
"367","baofeng",133,3
"368","trouble",133,3
"369","drop",132,3
"370","items",132,3
"371","kit",132,3
"372","note",132,3
"373","setting",132,3
"374","15",131,3
"375","clean",131,3
"376","mind",131,3
"377","complaint",130,3
"378","functions",129,3
"379","hole",129,3
"380","hope",129,3
"381","person",129,3
"382","water",129,3
"383","12",128,3
"384","care",128,3
"385","extremely",128,3
"386","move",127,3
"387","push",127,3
"388","dust",125,3
"389","hit",125,3
"390","spend",125,3
"391","heavy",124,3
"392","means",124,3
"393","protective",124,3
"394","returned",124,3
"395","easier",123,3
"396","add",122,3
"397","frequency",122,3
"398","series",122,3
"399","windshield",122,3
"400","access",121,3
"401","carry",121,3
"402","edges",121,3
"403","input",121,3
"404","leave",121,3
"405","loved",121,3
"406","gift",120,3
"407","road",119,3
"408","experience",118,3
"409","pictures",118,3
"410","shiny",118,3
"411","wheel",118,3
"412","air",117,3
"413","app",117,3
"414","mounting",117,3
"415","scratches",117,3
"416","slow",117,3
"417","stuff",117,3
"418","cam",116,3
"419","generation",116,3
"420","options",116,3
"421","aux",115,3
"422","clock",115,3
"423","cup",115,3
"424","dark",115,3
"425","durable",115,3
"426","position",115,3
"427","told",115,3
"428","adjust",114,3
"429","angle",114,3
"430","lost",114,3
"431","quick",114,3
"432","space",114,3
"433","strong",114,3
"434","taking",114,3
"435","windows",114,3
"436","corners",113,3
"437","expecting",113,3
"438","program",113,3
"439","receive",113,3
"440","correctly",112,3
"441","laptop",112,3
"442","lasted",112,3
"443","lighter",112,3
"444","matter",112,3
"445","pair",112,3
"446","save",112,3
"447","careful",111,3
"448","factory",111,3
"449","hour",111,3
"450","lower",111,3
"451","barely",110,3
"452","hoping",110,3
"453","larger",110,3
"454","metal",110,3
"455","nicely",110,3
"456","designed",109,3
"457","download",109,3
"458","hot",109,3
"459","itouch",109,3
"460","protectors",109,3
"461","snap",109,3
"462","50",108,3
"463","actual",108,3
"464","coming",108,3
"465","previous",108,3
"466","replaced",108,3
"467","reset",108,3
"468","bag",107,3
"469","dvd",107,3
"470","match",107,3
"471","pick",107,3
"472","super",107,3
"473","warranty",107,3
"474","window",107,3
"475","100",106,3
"476","appears",106,3
"477","installation",106,3
"478","interface",106,3
"479","cheaper",105,3
"480","forward",105,3
"481","stuck",105,3
"482","ability",104,3
"483","gen",104,3
"484","giving",104,3
"485","holding",104,3
"486","protects",104,3
"487","shipped",104,3
"488","similar",104,3
"489","understand",104,3
"490","calls",103,3
"491","directions",103,3
"492","inexpensive",103,3
"493","internal",103,3
"494","pack",103,3
"495","videos",103,3
"496","wear",103,3
"497","compatible",102,3
"498","faceplate",102,3
"499","provide",102,3
"500","secure",102,3
"501","slot",102,3
"502","stylus",102,3
"503","bucks",101,3
"504","kinda",101,3
"505","rear",101,3
"506","amount",100,3
"507","background",100,3
"508","bigger",100,3
"509","contact",100,3
"510","doesnt",100,3
"511","pc",100,3
"512","shut",100,3
"513","soft",100,3
"514","hands",99,3
"515","information",99,3
"516","pink",99,3
"517","thick",99,3
"518","zune",99,3
"519","awesome",98,3
"520","called",98,3
"521","led",98,3
"522","limited",98,3
"523","putting",98,3
"524","rate",98,3
"525","upgrade",98,3
"526","alarm",97,3
"527","biggest",97,3
"528","channel",97,3
"529","compared",97,3
"530","level",97,3
"531","starts",97,3
"532","tiny",97,3
"533","weak",97,3
"534","zen",97,3
"535","current",96,3
"536","english",96,3
"537","feet",96,3
"538","glue",96,3
"539","pieces",96,3
"540","solid",96,3
"541","TRUE",96,3
"542","attached",95,3
"543","cell",95,3
"544","lcd",95,3
"545","output",95,3
"546","pain",95,3
"547","thinking",95,3
"548","wide",95,3
"549","cards",94,3
"550","china",94,3
"551","green",94,3
"552","length",94,3
"553","models",94,3
"554","plate",94,3
"555","basic",93,3
"556","chinese",93,3
"557","lock",93,3
"558","basically",92,3
"559","correct",92,3
"560","inch",92,3
"561","weight",92,3
"562","bulky",91,3
"563","chargers",91,3
"564","closed",91,3
"565","ears",91,3
"566","entire",91,3
"567","falling",91,3
"568","receiver",91,3
"569","speed",91,3
"570","house",90,3
"571","requires",90,3
"572","alright",89,3
"573","didnt",89,3
"574","regular",89,3
"575","satisfied",89,3
"576","click",88,3
"577","pleased",88,3
"578","pull",88,3
"579","slide",88,3
"580","velcro",88,3
"581","bother",87,3
"582","center",87,3
"583","cheaply",87,3
"584","defective",87,3
"585","players",87,3
"586","response",87,3
"587","returning",87,3
"588","snug",87,3
"589","solution",87,3
"590","sort",87,3
"591","android",86,3
"592","anymore",86,3
"593","colors",86,3
"594","falls",86,3
"595","fault",86,3
"596","fell",86,3
"597","guy",86,3
"598","alpine",85,3
"599","cassette",85,3
"600","edge",85,3
"601","flashlight",85,3
"602","major",85,3
"603","plan",85,3
"604","provided",85,3
"605","stock",85,3
"606","directly",84,3
"607","error",84,3
"608","held",84,3
"609","page",84,3
"610","rest",84,3
"611","son",84,3
"612","style",84,3
"613","trip",84,3
"614","chip",83,3
"615","choice",83,3
"616","data",83,3
"617","hardware",83,3
"618","holes",83,3
"619","keyboard",83,3
"620","minute",83,3
"621","missing",83,3
"622","skip",83,3
"623","huge",82,3
"624","im",82,3
"625","load",82,3
"626","lots",82,3
"627","mic",82,3
"628","christmas",81,3
"629","contacted",81,3
"630","flat",81,3
"631","lack",81,3
"632","tab",81,3
"633","terrible",81,3
"634","wait",81,3
"635","digital",80,3
"636","media",80,3
"637","notice",80,3
"638","online",80,3
"639","tested",80,3
"640","comfortable",79,3
"641","extended",79,3
"642","tend",79,3
"643","absolutely",78,3
"644","earphones",78,3
"645","external",78,3
"646","friend",78,3
"647","purple",78,3
"648","sleeve",78,3
"649","sun",78,3
"650","constantly",77,3
"651","dollars",77,3
"652","format",77,3
"653","gb",77,3
"654","sansa",77,3
"655","wiring",77,3
"656","attach",76,3
"657","complain",76,3
"658","corner",76,3
"659","eventually",76,3
"660","flash",76,3
"661","handle",76,3
"662","hook",76,3
"663","plugs",76,3
"664","pop",76,3
"665","scratch",76,3
"666","apply",75,3
"667","cars",75,3
"668","check",75,3
"669","film",75,3
"670","impossible",75,3
"671","normal",75,3
"672","search",75,3
"673","shell",75,3
"674","truck",75,3
"675","cords",74,3
"676","manufacturer",74,3
"677","market",74,3
"678","microphone",74,3
"679","offer",74,3
"680","worse",74,3
"681","automatically",73,3
"682","carrying",73,3
"683","fun",73,3
"684","handy",73,3
"685","headset",73,3
"686","image",73,3
"687","keeping",73,3
"688","middle",73,3
"689","monitor",73,3
"690","sellers",73,3
"691","thicker",73,3
"692","bike",72,3
"693","functional",72,3
"694","hassle",72,3
"695","packaging",72,3
"696","process",72,3
"697","slip",72,3
"698","stays",72,3
"699","subs",72,3
"700","surface",72,3
"701","additional",71,3
"702","clips",71,3
"703","disappointing",71,3
"704","list",71,3
"705","played",71,3
"706","pro",71,3
"707","source",71,3
"708","suppose",71,3
"709","sync",71,3
"710","tech",71,3
"711","tuner",71,3
"712","covered",70,3
"713","opinion",70,3
"714","protected",70,3
"715","removed",70,3
"716","setup",70,3
"717","shuffle",70,3
"718","straight",70,3
"719","test",70,3
"720","text",70,3
"721","40",69,3
"722","ac",69,3
"723","alot",69,3
"724","amazing",69,3
"725","based",69,3
"726","figured",69,3
"727","fixed",69,3
"728","helpful",69,3
"729","mentioned",69,3
"730","sold",69,3
"731","suggest",69,3
"732","average",68,3
"733","dirt",68,3
"734","effect",68,3
"735","excited",68,3
"736","functionality",68,3
"737","galaxy",68,3
"738","loves",68,3
"739","movies",68,3
"740","multiple",68,3
"741","refund",68,3
"742","stated",68,3
"743","sticker",68,3
"744","tool",68,3
"745","3rd",67,3
"746","9",67,3
"747","application",67,3
"748","claim",67,3
"749","cracked",67,3
"750","glass",67,3
"751","happened",67,3
"752","immediately",67,3
"753","lose",67,3
"754","recently",67,3
"755","seat",67,3
"756","single",67,3
"757","vhf",67,3
"758","2nd",66,3
"759","adhesive",66,3
"760","build",66,3
"761","earbuds",66,3
"762","finger",66,3
"763","results",66,3
"764","wireless",66,3
"765","added",65,3
"766","luck",65,3
"767","minor",65,3
"768","modification",65,3
"769","mounted",65,3
"770","navigation",65,3
"771","owned",65,3
"772","prefer",65,3
"773","purse",65,3
"774","starting",65,3
"775","web",65,3
"776","website",65,3
"777","60",64,3
"778","adequate",64,3
"779","board",64,3
"780","channels",64,3
"781","damage",64,3
"782","date",64,3
"783","fair",64,3
"784","games",64,3
"785","internet",64,3
"786","listed",64,3
"787","maps",64,3
"788","playback",64,3
"789","plenty",64,3
"790","scratched",64,3
"791","shown",64,3
"792","uhf",64,3
"793","25",63,3
"794","body",63,3
"795","cigarette",63,3
"796","convenient",63,3
"797","dead",63,3
"798","delivery",63,3
"799","depending",63,3
"800","elastic",63,3
"801","forget",63,3
"802","performance",63,3
"803","purchasing",63,3
"804","screws",63,3
"805","sucks",63,3
"806","weird",63,3
"807","4th",62,3
"808","beat",62,3
"809","heard",62,3
"810","magnet",62,3
"811","moving",62,3
"812","operate",62,3
"813","past",62,3
"814","remember",62,3
"815","runs",62,3
"816","screens",62,3
"817","separate",62,3
"818","travel",62,3
"819","apps",61,3
"820","chance",61,3
"821","fire",61,3
"822","game",61,3
"823","hoped",61,3
"824","impressed",61,3
"825","likes",61,3
"826","ship",61,3
"827","transmit",61,3
"828","wired",61,3
"829","wrist",61,3
"830","zipper",61,3
"831","auto",60,3
"832","changed",60,3
"833","condition",60,3
"834","door",60,3
"835","flip",60,3
"836","installing",60,3
"837","ipods",60,3
"838","local",60,3
"839","loop",60,3
"840","mah",60,3
"841","mail",60,3
"842","map",60,3
"843","occasionally",60,3
"844","panel",60,3
"845","priced",60,3
"846","smooth",60,3
"847","spent",60,3
"848","wifi",60,3
"849","5w",59,3
"850","choose",59,3
"851","complaints",59,3
"852","email",59,3
"853","hits",59,3
"854","louder",59,3
"855","popular",59,3
"856","reach",59,3
"857","recharge",59,3
"858","site",59,3
"859","smell",59,3
"860","solar",59,3
"861","special",59,3
"862","spot",59,3
"863","vendor",59,3
"864","anti",58,3
"865","bose",58,3
"866","connecting",58,3
"867","failed",58,3
"868","future",58,3
"869","helps",58,3
"870","interference",58,3
"871","mention",58,3
"872","slight",58,3
"873","supply",58,3
"874","tracks",58,3
"875","4w",57,3
"876","bracket",57,3
"877","construction",57,3
"878","fantastic",57,3
"879","language",57,3
"880","lasts",57,3
"881","lens",57,3
"882","outlet",57,3
"883","pin",57,3
"884","portion",57,3
"885","powered",57,3
"886","protecting",57,3
"887","totally",57,3
"888","waiting",57,3
"889","watts",57,3
"890","cd's",56,3
"891","compact",56,3
"892","finding",56,3
"893","finish",56,3
"894","frustrating",56,3
"895","hooked",56,3
"896","instruction",56,3
"897","keys",56,3
"898","leaves",56,3
"899","machine",56,3
"900","movie",56,3
"901","narrow",56,3
"902","screw",56,3
"903","securely",56,3
"904","sensor",56,3
"905","backup",55,3
"906","cds",55,3
"907","doubt",55,3
"908","intended",55,3
"909","pad",55,3
"910","positive",55,3
"911","removing",55,3
"912","307",54,3
"913","breaking",54,3
"914","creative",54,3
"915","distance",54,3
"916","double",54,3
"917","electronics",54,3
"918","favorite",54,3
"919","frequencies",54,3
"920","negative",54,3
"921","noticeable",54,3
"922","plain",54,3
"923","poorly",54,3
"924","random",54,3
"925","rarely",54,3
"926","versions",54,3
"927","deck",53,3
"928","glad",53,3
"929","happen",53,3
"930","insert",53,3
"931","nuvi",53,3
"932","pod",53,3
"933","reviewers",53,3
"934","sending",53,3
"935","shape",53,3
"936","socket",53,3
"937","title",53,3
"938","virtually",53,3
"939","4s",52,3
"940","album",52,3
"941","complete",52,3
"942","continue",52,3
"943","dashboard",52,3
"944","delay",52,3
"945","folder",52,3
"946","forever",52,3
"947","google",52,3
"948","magnetic",52,3
"949","minimal",52,3
"950","odd",52,3
"951","oem",52,3
"952","pouch",52,3
"953","reasonable",52,3
"954","repair",52,3
"955","resolution",52,3
"956","samsung",52,3
"957","sensitive",52,3
"958","sticky",52,3
"959","waterproof",52,3
"960","world",52,3
"961","buyer",51,3
"962","capability",51,3
"963","driver",51,3
"964","enjoy",51,3
"965","exact",51,3
"966","expectations",51,3
"967","fuse",51,3
"968","ground",51,3
"969","info",51,3
"970","kobo",51,3
"971","pen",51,3
"972","pictured",51,3
"973","pioneer",51,3
"974","required",51,3
"975","throw",51,3
"976","wont",51,3
"977","dirty",50,3
"978","itunes",50,3
"979","pressure",50,3
"980","select",50,3
"981","smart",50,3
"982","tip",50,3
"983","updated",50,3
"984","word",50,3
"985","acceptable",49,3
"986","amplifier",49,3
"987","apparently",49,3
"988","attractive",49,3
"989","bump",49,3
"990","class",49,3
"991","connections",49,3
"992","connectors",49,3
"993","died",49,3
"994","heat",49,3
"995","luckily",49,3
"996","pause",49,3
"997","ports",49,3
"998","sell",49,3
"999","silver",49,3
"1000","sounding",49,3
"1001","street",49,3
"1002","talk",49,3
"1003","unlike",49,3
"1004","usable",49,3
"1005","worst",49,3
"1006","adapters",48,3
"1007","address",48,3
"1008","circuit",48,3
"1009","glued",48,3
"1010","inches",48,3
"1011","leaving",48,3
"1012","quit",48,3
"1013","rated",48,3
"1014","realize",48,3
"1015","recorder",48,3
"1016","silicon",48,3
"1017","sit",48,3
"1018","slides",48,3
"1019","spring",48,3
"1020","tomtom",48,3
"1021","transfer",48,3
"1022","upside",48,3
"1023","write",48,3
"1024","addition",47,3
"1025","artist",47,3
"1026","breaks",47,3
"1027","cloth",47,3
"1028","concept",47,3
"1029","delivered",47,3
"1030","max",47,3
"1031","mobile",47,3
"1032","pandora",47,3
"1033","paying",47,3
"1034","photo",47,3
"1035","plugging",47,3
"1036","post",47,3
"1037","pressing",47,3
"1038","rca",47,3
"1039","scroll",47,3
"1040","specifically",47,3
"1041","words",47,3
"1042","accessory",46,3
"1043","aware",46,3
"1044","clarity",46,3
"1045","connects",46,3
"1046","damaged",46,3
"1047","flap",46,3
"1048","flaws",46,3
"1049","initially",46,3
"1050","knob",46,3
"1051","manually",46,3
"1052","mhz",46,3
"1053","offered",46,3
"1054","paint",46,3
"1055","realized",46,3
"1056","sounded",46,3
"1057","storage",46,3
"1058","supplied",46,3
"1059","surprised",46,3
"1060","thinner",46,3
"1061","tools",46,3
"1062","vision",46,3
"1063","90",45,3
"1064","accurate",45,3
"1065","arms",45,3
"1066","bubble",45,3
"1067","capacity",45,3
"1068","cutting",45,3
"1069","location",45,3
"1070","meant",45,3
"1071","message",45,3
"1072","otterbox",45,3
"1073","paired",45,3
"1074","perform",45,3
"1075","playlist",45,3
"1076","result",45,3
"1077","serves",45,3
"1078","straps",45,3
"1079","viewing",45,3
"1080","watt",45,3
"1081","24",44,3
"1082","adding",44,3
"1083","awhile",44,3
"1084","beware",44,3
"1085","buds",44,3
"1086","classic",44,3
"1087","cleaning",44,3
"1088","concerned",44,3
"1089","credit",44,3
"1090","dremel",44,3
"1091","follow",44,3
"1092","frame",44,3
"1093","gonna",44,3
"1094","hate",44,3
"1095","highly",44,3
"1096","kenwood",44,3
"1097","miles",44,3
"1098","mp3s",44,3
"1099","mp4",44,3
"1100","paper",44,3
"1101","ready",44,3
"1102","recognize",44,3
"1103","ring",44,3
"1104","sense",44,3
"1105","sharp",44,3
"1106","slowly",44,3
"1107","trips",44,3
"1108","unable",44,3
"1109","16gb",43,3
"1110","comment",43,3
"1111","con",43,3
"1112","direct",43,3
"1113","distortion",43,3
"1114","extension",43,3
"1115","flexible",43,3
"1116","harder",43,3
"1117","license",43,3
"1118","mac",43,3
"1119","modifying",43,3
"1120","motorcycle",43,3
"1121","neck",43,3
"1122","prevent",43,3
"1123","receiving",43,3
"1124","recorded",43,3
"1125","rough",43,3
"1126","selection",43,3
"1127","sleep",43,3
"1128","sticks",43,3
"1129","stronger",43,3
"1130","waste",43,3
"1131","weather",43,3
"1132","beautiful",42,3
"1133","chose",42,3
"1134","edit",42,3
"1135","flaw",42,3
"1136","husband",42,3
"1137","mess",42,3
"1138","reliable",42,3
"1139","replacing",42,3
"1140","saved",42,3
"1141","screwed",42,3
"1142","shop",42,3
"1143","specific",42,3
"1144","tapes",42,3
"1145","trick",42,3
"1146","16",41,3
"1147","300",41,3
"1148","3g",41,3
"1149","bundle",41,3
"1150","cradle",41,3
"1151","crappy",41,3
"1152","deep",41,3
"1153","difficulty",41,3
"1154","fingers",41,3
"1155","fragile",41,3
"1156","friends",41,3
"1157","imagine",41,3
"1158","include",41,3
"1159","initial",41,3
"1160","kickstand",41,3
"1161","min",41,3
"1162","peel",41,3
"1163","proper",41,3
"1164","recommended",41,3
"1165","records",41,3
"1166","scan",41,3
"1167","sitting",41,3
"1168","usage",41,3
"1169","watching",41,3
"1170","youtube",41,3
"1171","3gs",40,3
"1172","beginning",40,3
"1173","bogus",40,3
"1174","brought",40,3
"1175","convert",40,3
"1176","daily",40,3
"1177","docking",40,3
"1178","ebay",40,3
"1179","fan",40,3
"1180","feeling",40,3
"1181","frequently",40,3
"1182","friendly",40,3
"1183","photos",40,3
"1184","pulled",40,3
"1185","snapped",40,3
"1186","texture",40,3
"1187","unplug",40,3
"1188","worry",40,3
"1189","accidentally",39,3
"1190","bar",39,3
"1191","casing",39,3
"1192","code",39,3
"1193","dual",39,3
"1194","electronic",39,3
"1195","generic",39,3
"1196","hearing",39,3
"1197","htc",39,3
"1198","intuitive",39,3
"1199","knock",39,3
"1200","mid",39,3
"1201","navigate",39,3
"1202","pdf",39,3
"1203","refer",39,3
"1204","research",39,3
"1205","safe",39,3
"1206","spare",39,3
"1207","step",39,3
"1208","stops",39,3
"1209","technology",39,3
"1210","traveling",39,3
"1211","2012",38,3
"1212","8gb",38,3
"1213","adjustable",38,3
"1214","awkward",38,3
"1215","block",38,3
"1216","car's",38,3
"1217","carefully",38,3
"1218","costs",38,3
"1219","create",38,3
"1220","desired",38,3
"1221","dial",38,3
"1222","downside",38,3
"1223","electrical",38,3
"1224","form",38,3
"1225","horrible",38,3
"1226","ideal",38,3
"1227","lifeproof",38,3
"1228","menus",38,3
"1229","rip",38,3
"1230","snaps",38,3
"1231","stable",38,3
"1232","stiff",38,3
"1233","strange",38,3
"1234","stupid",38,3
"1235","trunk",38,3
"1236","updates",38,3
"1237","11",37,3
"1238","answer",37,3
"1239","drivers",37,3
"1240","ereader",37,3
"1241","folders",37,3
"1242","grip",37,3
"1243","label",37,3
"1244","misleading",37,3
"1245","modes",37,3
"1246","offers",37,3
"1247","outer",37,3
"1248","packaged",37,3
"1249","period",37,3
"1250","print",37,3
"1251","satellite",37,3
"1252","sdr",37,3
"1253","subwoofer",37,3
"1254","suspect",37,3
"1255","traffic",37,3
"1256","underneath",37,3
"1257","wildly",37,3
"1258","wonderful",37,3
"1259","1st",36,3
"1260","3800",36,3
"1261","400",36,3
"1262","aa",36,3
"1263","arrive",36,3
"1264","changing",36,3
"1265","checked",36,3
"1266","components",36,3
"1267","confusing",36,3
"1268","cuts",36,3
"1269","gym",36,3
"1270","library",36,3
"1271","m16",36,3
"1272","pass",36,3
"1273","picks",36,3
"1274","pushed",36,3
"1275","pushing",36,3
"1276","quiet",36,3
"1277","require",36,3
"1278","reviewer",36,3
"1279","square",36,3
"1280","table",36,3
"1281","tooth",36,3
"1282","voltage",36,3
"1283","walk",36,3
"1284","wearing",36,3
"1285","written",36,3
"1286","3.5",35,3
"1287","4g",35,3
"1288","aaa",35,3
"1289","begin",35,3
"1290","benefit",35,3
"1291","causing",35,3
"1292","compartment",35,3
"1293","dealer",35,3
"1294","ebook",35,3
"1295","effort",35,3
"1296","environment",35,3
"1297","floor",35,3
