"","word","n","star_rating"
"1","br",4975,2
"2","product",1767,2
"3","ipod",1522,2
"4","screen",1406,2
"5","time",1288,2
"6","unit",1145,2
"7","quality",1073,2
"8","bought",1036,2
"9","sound",1003,2
"10","2",911,2
"11","phone",897,2
"12","fit",890,2
"13","battery",790,2
"14","car",773,2
"15","buy",770,2
"16","charge",735,2
"17","player",730,2
"18","item",725,2
"19","cable",684,2
"20","device",667,2
"21","radio",665,2
"22","iphone",654,2
"23","charger",637,2
"24","34",608,2
"25","power",587,2
"26","cheap",566,2
"27","music",562,2
"28","price",551,2
"29","fine",534,2
"30","cover",533,2
"31","3",520,2
"32","money",513,2
"33","nice",493,2
"34","plastic",492,2
"35","1",482,2
"36","volume",481,2
"37","bad",473,2
"38","return",468,2
"39","hard",465,2
"40","touch",465,2
"41","usb",455,2
"42","months",452,2
"43","play",449,2
"44","purchased",446,2
"45","4",441,2
"46","camera",432,2
"47","recommend",426,2
"48","plug",425,2
"49","protector",418,2
"50","gps",415,2
"51","broke",411,2
"52","pretty",410,2
"53","speaker",408,2
"54","received",394,2
"55","5",385,2
"56","mp3",382,2
"57","video",375,2
"58","disappointed",373,2
"59","button",366,2
"60","hold",366,2
"61","days",365,2
"62","easy",364,2
"63","charging",352,2
"64","day",348,2
"65","amazon",345,2
"66","light",340,2
"67","worth",330,2
"68","weeks",327,2
"69","set",326,2
"70","pay",323,2
"71","bluetooth",319,2
"72","stopped",315,2
"73","buttons",313,2
"74","found",313,2
"75","lot",309,2
"76","speakers",308,2
"77","times",307,2
"78","read",305,2
"79","audio",298,2
"80","card",294,2
"81","stars",291,2
"82","purchase",288,2
"83","box",284,2
"84","nook",282,2
"85","week",282,2
"86","poor",279,2
"87","bit",278,2
"88","cord",278,2
"89","easily",276,2
"90","guess",268,2
"91","instructions",268,2
"92","difficult",265,2
"93","low",265,2
"94","cd",263,2
"95","plugged",262,2
"96","remote",261,2
"97","couple",251,2
"98","design",251,2
"99","front",249,2
"100","makes",246,2
"101","started",246,2
"102","adapter",245,2
"103","ipad",245,2
"104","reason",244,2
"105","fm",237,2
"106","kindle",237,2
"107","piece",234,2
"108","10",233,2
"109","inside",233,2
"110","issue",231,2
"111","picture",231,2
"112","seller",231,2
"113","top",229,2
"114","reviews",228,2
"115","system",228,2
"116","returned",227,2
"117","color",225,2
"118","month",224,2
"119","stay",224,2
"120","apple",223,2
"121","bottom",221,2
"122","buying",221,2
"123","clip",221,2
"124","left",220,2
"125","review",219,2
"126","fits",218,2
"127","6",217,2
"128","completely",217,2
"129","replacement",217,2
"130","software",217,2
"131","size",216,2
"132","control",215,2
"133","shipping",214,2
"134","connection",211,2
"135","expected",211,2
"136","mount",211,2
"137","computer",209,2
"138","support",208,2
"139","transmitter",208,2
"140","useless",205,2
"141","display",203,2
"142","short",203,2
"143","hear",200,2
"144","company",197,2
"145","wrong",195,2
"146","songs",193,2
"147","update",192,2
"148","mine",188,2
"149","installed",187,2
"150","original",186,2
"151","hours",185,2
"152","brand",183,2
"153","connect",182,2
"154","send",181,2
"155","antenna",180,2
"156","half",179,2
"157","refund",179,2
"158","minutes",178,2
"159","dock",174,2
"160","start",174,2
"161","feel",173,2
"162","cut",171,2
"163","headphones",171,2
"164","leather",171,2
"165","noise",171,2
"166","issues",170,2
"167","sd",169,2
"168","returning",168,2
"169","arrived",167,2
"170","idea",167,2
"171","remove",167,2
"172","waste",167,2
"173","song",165,2
"174","connector",164,2
"175","finally",164,2
"176","happy",164,2
"177","loud",164,2
"178","bubbles",163,2
"179","expect",163,2
"180","manual",163,2
"181","service",163,2
"182","protect",162,2
"183","sounds",162,2
"184","amp",160,2
"185","blue",160,2
"186","description",160,2
"187","install",160,2
"188","cables",159,2
"189","properly",159,2
"190","stereo",159,2
"191","wall",159,2
"192","annoying",158,2
"193","customer",158,2
"194","products",158,2
