star_rating,word,n
5,br,27565
4,br,15847
5,product,11272
1,br,9341
5,ipod,8735
5,sound,8488
3,br,8150
5,price,8143
5,love,7943
5,easy,7390
5,quality,7231
5,bought,6137
5,speaker,6044
5,time,5909
5,recommend,5560
1,product,5390
5,nice,5325
5,screen,5311
5,car,5093
5,phone,4986
2,br,4975
5,perfect,4789
5,buy,4696
5,battery,4672
5,fits,4206
5,unit,4151
5,cover,4069
5,fit,3939
4,product,3937
5,2,3828
5,perfectly,3796
4,ipod,3732
5,music,3710
5,radio,3667
5,charge,3658
5,cable,3649
5,nook,3608
5,iphone,3512
5,power,3491
5,device,3424
4,price,3418
4,screen,3407
5,speakers,3220
4,sound,3113
5,happy,3108
1,buy,3024
1,money,3014
5,item,2998
5,usb,2984
1,time,2952
4,time,2924
5,purchased,2919
5,player,2875
5,excellent,2833
5,bluetooth,2796
4,quality,2741
5,charger,2725
5,touch,2706
1,ipod,2700
5,amp,2662
5,color,2602
5,purchase,2574
4,unit,2550
4,nice,2545
4,easy,2530
1,bought,2496
5,3,2471
5,4,2450
5,highly,2438
5,5,2433
1,screen,2406
5,gps,2391
1,item,2364
5,34,2299
5,set,2275
5,lot,2244
4,bought,2172
4,car,2155
5,hard,2135
5,size,2123
5,pretty,2120
5,fast,2115
5,volume,2114
1,unit,2104
5,kindle,2103
5,light,2095
4,radio,2074
3,product,2061
5,easily,2047
5,worth,2046
4,battery,2038
4,phone,2031
5,audio,2013
5,day,2010
5,awesome,1993
5,1,1982
3,ipod,1980
4,device,1945
5,box,1931
1,charge,1926
5,received,1920
5,bass,1911
5,charging,1909
5,found,1889
5,amazon,1887
5,system,1886
4,player,1877
5,makes,1877
5,fine,1868
5,money,1838
1,2,1836
5,bit,1824
4,fit,1811
1,fit,1803
1,quality,1803
1,phone,1802
4,cover,1784
2,product,1767
3,screen,1764
4,speaker,1755
5,plug,1754
5,loves,1750
5,install,1741
4,2,1740
5,protector,1721
4,pretty,1720
5,camera,1716
5,play,1701
4,usb,1686
1,waste,1669
5,mp3,1669
1,return,1660
5,amazing,1652
4,cable,1649
4,music,1643
5,shipping,1634
5,card,1633
4,4,1627
4,power,1627
5,expected,1623
5,ipad,1610
4,bit,1602
4,fine,1599
1,charger,1583
5,arrived,1580
1,car,1579
5,video,1578
5,sounds,1556
5,simple,1547
1,device,1536
3,time,1536
1,cheap,1534
1,battery,1531
1,cable,1530
2,ipod,1522
5,days,1519
4,5,1518
5,pleased,1516
4,buy,1512
5,read,1509
5,loud,1498
4,charge,1491
5,apple,1491
4,love,1469
5,cord,1463
1,iphone,1462
3,sound,1462
5,hold,1450
1,amazon,1435
1,player,1431
4,fits,1429
5,10,1429
5,mount,1428
4,recommend,1427
5,reviews,1421
5,review,1417
5,hours,1415
1,34,1413
3,unit,1413
3,price,1410
5,cheap,1407
2,screen,1406
5,button,1405
5,feel,1400
3,quality,1399
5,stereo,1399
5,quickly,1386
5,daughter,1385
5,remote,1367
5,cables,1362
5,installed,1358
5,portable,1356
5,times,1348
4,camera,1347
5,deal,1324
5,life,1319
5,service,1311
5,design,1299
4,hard,1295
2,time,1288
1,sound,1284
1,3,1283
3,radio,1279
5,protection,1277
4,touch,1274
4,iphone,1273
1,received,1267
5,front,1249
1,radio,1248
5,gift,1231
5,buttons,1226
4,volume,1225
5,free,1219
5,listen,1216
5,leather,1215
4,charger,1210
5,tablet,1210
5,months,1204
4,stars,1202
5,built,1188
5,top,1178
1,1,1177
4,34,1176
4,3,1174
5,buying,1174
4,speakers,1172
3,phone,1163
3,battery,1158
3,bought,1157
5,people,1155
5,running,1155
5,low,1151
