review,rating
It was nice produt. I like it's design a lot.  It's easy to carry. And.   Looked stylish.READ MORE,5
awesome sound....very pretty to see this nd the sound quality was too good I wish to take this product loved this product 😍😍😍READ MORE,5
"awesome sound quality. pros 7-8 hrs of battery life (including 45 mins approx call time)Awesome sound output. Bass and treble are really very clear without equaliser. With equaliser, sound wary depends on the handset sound quality.Weightless to carry and in head tooMic is good, but in traffic it is not too good (3.255)3.5mm Option is really important to mention. Really expecting other leading brands to implement this.ConsVery tight in ears. adjusters are ok .. this ll be very tight...READ MORE",4
I think it is such a good product not only as per the quality but also the design is quite good . I m using this product from January ... In this pandamic situation it has became the most useful and helpful . Overall the bass and the sound quality is pretty good and another thing that will give you such a sigh of relief that it will provide a wire that will help you in case of lacking charges.READ MORE,5
awesome bass sound quality very good bettary long life  and I have a purchase Rs.999  only really grateful product don't forget to likeREAD MORE,5
"Awsome sound powerful bass battery backup is also excellent and i loved bass the most and I'm huge lover of music and the most bass design and build is also very nice,and this was my first time when i bought and headphone or and electronics item and glad to say on the first time only i loved it 😍 😍 😍  it's a very excellent product.         Thanks boat for making such a nice product keep making such and the most Thanks to flipkart team for delivering such a nice product by risking there lif...READ MORE",5
This product sound is clear and excellent bass. Obviously this is a good product valuable from money. so guys any no daut this is a really good product.....READ MORE,4
Should u buy this---Pros-1. Sound quality and build quality is awesome2. Bluetooth connectivity is average3. Bass is clear and High 😍4. Battery Backup is very good5. U can use this as wire Headphone when u have no charge on headphone..(This is good)Cron-1. If u use it for too long u can feel the pain in ur ear2. its on the ear not over the ear...if u need over the ear at this price go for Moto puls maxFinal opinion---If u want good sound quality.. good bass and a wireless head...READ MORE,4
"First of all, I want to talk about sound quality. The sound quality is best for this price segment. Bass is really punchy, mids are also good, but on high volumes, the sound cracks a bit,  otherwise it is really nice. 910.Then come the build quality. The build quality too is amazing. You cant get better headphones than these. They are sturdy and very light, made out of very good quality plastic. 9.510.The thing I didn't like was that they are a bit tight. Sometimes, they become uncomforta...READ MORE",5
Good looking Super Fine clear Sound and power full bassREAD MORE,5
"The headphone have the best bass and perfect to fit and fixed the on the head.....that mi a1 provide large range of Bluetooth.....and mic working fine on Bluetooth,wire also....READ MORE",4
great looks n very light weight sound is very cool but design is ok ok. the ears couf is cheaper in quality.. after 15 minutes you feel pain in ur ears n sweating. sound quality is excellent n base is awesome.. it is value for money in this price range thanks to flipkart for this... calling feature is also very poor.READ MORE,4
"I am using this headphone since 6 months, great bass I am a songs lover and like to listen all types of song, this headphone is great for all kind of music from trance or edm to hindi old song and great battery life tooo great buy bole to Paisa VasooooolREAD MORE",5
Sound quality is good. But cannot wear it for more than 10 minutes. It's sooo uncomfortable. My ears start paining because of its small size. I feel like somebody is pressing my ears from both the sides with great force. Boat needs to improve its design.READ MORE,1
"Reson for 1 star  Sounds for alerts for connection, low battery, incoming calls etc. plays at 10 times of volume then the volume that we usually hear anything on headphones. These notification plays at sound level that everyone in the room will hear it. Imagine it playing when u r wearing this headphones. It's like a blast in ur ears out of nowhere. When it plays like that loud when I'm wearing it, I wish to throw it away.Reason why I hvnt thrown it away yet  decent sound quality and ba...READ MORE",1
"yes it is good in all aspect..except mic, i tried to talk using mic over bluetooth but other person cannot hear it clearly and also that low sound irritates them... ..so if you want something to enjoy music in budget and quality this is good.. ...and yes it is tight but with use it gets loosen little but not comfortable for big head, i feel my head is small so in a week i got comfortable with it and keeping the volume mid range you can use it for hours like i use for 2-3 hrs a day but keepi...READ MORE",3
"sound its relay rock when I compare with other headphones I used HP, LG, Sony...     battery thanks to the designer awesome battery backup  if u hearing songs on ful day the battery back for 2 days. ..  negative; the mic was not clear when we drive its not audible & also when we speaking calls the sound not louder it head phones...if this sb improved it headphones relay wonderful product.... for 1499 worth no doubt please go with this....also customer service response is good rate 45....I...READ MORE",4
battery backup good some times tight on the head Bluetooth is connective good speakers good bass is good and boat really rocking guys I am bought product dasar in cost 999 rs price reasaonble what r the observeve in use 2 months what r the changes waiting u battery indicated good.really happy in this product and delivery is goodREAD MORE,3
Good product..sound quality is good but bass is not so heavy as they are saying. I saw that this product has got 4.3 ratings then I placed order. Now truly saying that I am some of dissatisfied with this product. Bluetooth connectivity is good but I there is a huge lack can be shown when some music tracks are playing through Bluetooth. No issues for aux mode. Built quality is not so good. The main thing I was searching for a bass heavy headphones and they are saying that this is bass heavy so...READ MORE,4
"Best budget headset at this price range @999, so buy it during offers period. sound quality is awesome, bass is extremely good and battery backup is 8 hours and charging time is 1 and half hours. MAIN CONS  1)Tight ear cuffs ,2) sweating in just 20 minutes and we want to adjust it in regular intervals, and  mike quality is worst , the other person is hearing the more surrounding noise. 3)overall rating is 8.510 and  for bass 910, sound quality 910, built quality 710, battery backup 9...READ MORE",5
"Superb Sound😍 Quality, good design very comfortable and good bettary life. Overall Amazing product from #boat 😍👌READ MORE",5
Amazing Audio product from boAt.• Superb bass.• Crystal Clear sound. • Awesome Battery backup.Go for it Without Any Kind of Hesitation.Great deal at such PriceREAD MORE,5
awesome product at this prize and what a deal by phone pe app i get this only 700 rs. good sound quality go for itREAD MORE,5
"today i get this product.. it's really very good product in this price range.. connectivity, sound quality, battery backup and built quality everything is very good..very good Ekart delivery service also.. Thank u flipkart.. guys go for it..👌👌😍😍😁😁🤗🤗👍👍READ MORE",5
super great product iam love it thank you FlipkartREAD MORE,5
Nice headphones grt sound quality I'm very much impressed connectivity iz fast and battery backup iz fabulous...... But headband iz lill tight u can't wear it for long time otherwise grt product fully satisfied.........READ MORE,5
1. Sound quality is best......     2. Look was super stylish headphone..... 3.. Packaging is superb..      4. Right tym to delevired... Thanku flipkart.....READ MORE,5
Wooowwww superb product😇 with good effect and sound clarity👏 Bluetooth r working good with system and Mobile phone... Headphones with charger cable and also with connecting wire and 1yr warranty woooww ♥️ thank you 🥰READ MORE,5
"To me this headphone is better choice in this budget. It's sound quality just awesome. Battery backup is perfect approx 9 to 10 hours. But, build quality is average. In one word it is a better choice.READ MORE",5
best bluetooth headset under this price range totally worth it  you should buy this amazing product thank you Flipkart for delivering me in very short period of timeREAD MORE,5
"This headfone is very beautiful , it's sound quality is osm, it's bass is very powerful ,nice product (( thanks flipcard for delivering me ao quickly, i salute all flipcard staff, love you flipcard ,  👍👍👍READ MORE",5
The best device in this range. Bass quality is best. Simply loved this device. Got delivered in just 2 days.Light weight. White and neon colour is simply wow. Perfectly rests on the ears and comfortable as well.Go for it. Thanks BOAT 🤟READ MORE,5
light weight and easy to carry anywhere and attractive model awesome service from flipkart love itREAD MORE,5
Headphones are very beautiful and classy.. very light weight actually they worth it.bass is awesome also with good sound quality....READ MORE,5
"awesome prodect got it for 999,boat company is good is providing good & durable prodect........READ MORE",5
.I really love this product 😍💕💕 its sound quality 👌👌👌👌 awesome I prefer to buy this friends and it's built quality is relay awesome guys love this productREAD MORE,5
sound is tooo good...and the quality is too good I m happy ...device sound quality is most important for the best quality of music....READ MORE,5
"The boat product is good excellent headphone to buy with Bluetooth without wire to use good. wire also added with it  sound ,bass is perfect what waiting order now enjoy nowREAD MORE",4
Delivery is to slow.Sound quality is super and bass is also good. Build quality is not bad and battery is also good.I have one major problem is the mic not good because some times the mic is not clearly to calling person their voice is clear but our voice not clear to there.READ MORE,4
Simply amazing when I see it and also sound 💯👌 with bass but when I wear it first time it is tight after sometime it is good 😊.I am happy with it.READ MORE,4
perfect in this price range .go for it . absolutely amazing one .u will feel no delay in pubg sound .the sound is perfectly synchronised with the game .i bought this for playing pubg mainly .so pubg users if u r looking for a good headphone under 2000 then this is it .if my review is helpful then hit likeREAD MORE,5
This was good. As the sound is so good .I am using it since 2 weeks and i am fully satisfied with it.The noice cancellation is a little issue but it is good .The prices are little bit high according to the quality offered. I will not recommend this product .You can go over any other headphones.I am not totally satisfied.READ MORE,3
Design and colour  was  very good . the sound quality was awesome . I love it very much this product.READ MORE,4
1st of all its very popular and boat is very good in sound production they have heavy and punchy bass which is nice used many boat ear phones and the experience was nice and with this boat rockerz 400 its even better yes it will feel uncomfortable if you have been fond of over the ear headphones rather than that sound is great bass is awesome build is good design is stylish battery backup is also preety good...If you are buying an on the ear headphone for the 1st time and never used an over t...READ MORE,5
Product is good battery backup is also good. I recommend you should buy this product at once in our life at this price range this is the best bluetooth headphoneREAD MORE,5
"Firstly, Thanks to Flipkart...I got the headphones 4 days earlier...!!...just imagine...Blazing fast delivery by Flipkart..Ok so I am reviewing after using it for 5 days..1. Design & Comfort -Frankly speaking, these were my first headphones. Design is pretty satisfactory and you can show off in front of your friends ;-). I purchased Black and red one. The ear-cups are adjustable and I had no problem in wearing.Now Comfort, many were saying these are very tight and uncomfortable but honest...READ MORE",5
"I bought in a flipkart sale at Rs999 and I must say it's worth at this price ,bass is pretty cool , sound quality is awesome .Bt I still Give 4 star to it becoz it's little uncomfortable if uh wear it  more than 10min. your ears start getting pain bt after some week you'll get used to it?READ MORE",4
"U cannt bought anything in that cheap price from a well known brand, it's worthy and if I'll talk about sound then it's amazing and battery backup is also good and it's light weight to carry but on the other hand calling quality isn't good enoughREAD MORE",4
Stylish Beautiful and best BASS quality...It feels like.heaven !! LIstening through this is fun...happy for this purchase..grabbed at just Rs.1099 maybe the cheapest till now...bit tight bt maybe I'll get used to it!!Best wid Windows 10 as well..loved itTHANX FLIPKART!!READ MORE,5
"awesome product,  super quality,  clear n high volume sound,  you can change your songs. cushion quality is goodREAD MORE",5
"This product is very good.1. The super extra bass is working properly.2.battery backup is best normally 8-9 hours.3. charging time is correct as description as product details.4.in the box a audio plug, charger cable,warranty card, user manual,etc.5.With high definition balanced sound.6. Next & previous function not working in laptop but it works in mobile.READ MORE",5
•Very Good Headphone For Playing Games Like PUBG•You Easily Get Each & Every Footsteps With This.•But It Have Some Sound Delay With Bluetooth Mode.•But With Aux Cable It Works PERFECTLY FINE.Sound 🌟🌟🌟🌟🌟Bass    🌟🌟🌟🌟🌟Battery  🌟🌟🌟🌟🌟READ MORE,5
